Mach,alpha,delta,parameter
0.8,0,-10,-0.725045194
0.8,0,-5,-0.242478268
0.8,0,0,0.240088658
0.8,0,5,0.242478268
0.8,0,10,0.244867879
0.8,5,-10,-0.802493619
0.8,5,-5,-0.271720481
0.8,5,0,0.259052658
0.8,5,5,0.271720481
0.8,5,10,0.284388304
0.8,10,-10,-0.97835923
0.8,10,-5,-0.331300292
0.8,10,0,0.315758647
0.8,10,5,0.331300292
0.8,10,10,0.346841937
0.8,15,-10,-1.242280072
0.8,15,-5,-0.416903342
0.8,15,0,0.408473388
0.8,15,5,0.416903342
0.8,15,10,0.425333297
0.8,20,-10,-1.586158024
0.8,20,-5,-0.52450954
0.8,20,0,0.537138945
0.8,20,5,0.52450954
0.8,20,10,0.511880134
0.8,25,-10,-2.014813585
0.8,25,-5,-0.653804541
0.8,25,0,0.707204504
0.8,25,5,0.653804541
0.8,25,10,0.600404578
2,0,-10,-0.501204064
2,0,-5,-0.167055457
2,0,0,0.167093149
2,0,5,0.167055457
2,0,10,0.167017765
2,5,-10,-0.55697394
2,5,-5,-0.187301956
2,5,0,0.182370029
2,5,5,0.187301956
2,5,10,0.192233882
2,10,-10,-0.697512356
2,10,-5,-0.234380072
2,10,0,0.228752211
2,10,5,0.234380072
2,10,10,0.240007934
2,15,-10,-0.939184416
2,15,-5,-0.312999319
2,15,0,0.313185777
2,15,5,0.312999319
2,15,10,0.312812861
2,20,-10,-1.273305251
2,20,-5,-0.418960592
2,20,0,0.435384068
2,20,5,0.418960592
2,20,10,0.402537115
2,25,-10,-1.689008125
2,25,-5,-0.546811019
2,25,0,0.595386088
2,25,5,0.546811019
2,25,10,0.49823595
