Mach,alpha,delta,parameter
0.8,0,-10,-0.149666211
0.8,0,-5,-0.074833106
0.8,0,0,0
0.8,0,5,0.074833106
0.8,0,10,0.149666211
0.8,5,-10,-0.801952083
0.8,5,-5,-0.287374984
0.8,5,0,0.227202116
0.8,5,5,0.287374984
0.8,5,10,0.347547852
0.8,10,-10,-1.440450839
0.8,10,-5,-0.495309543
0.8,10,0,0.449831754
0.8,10,5,0.495309543
0.8,10,10,0.540787332
0.8,15,-10,-2.038049779
0.8,15,-5,-0.689549083
0.8,15,0,0.658951613
0.8,15,5,0.689549083
0.8,15,10,0.720146553
0.8,20,-10,-2.59858555
0.8,20,-5,-0.871332772
0.8,20,0,0.855920006
0.8,20,5,0.871332772
0.8,20,10,0.886745538
0.8,25,-10,-3.14967525
0.8,25,-5,-1.049851304
0.8,25,0,1.049972641
0.8,25,5,1.049851304
0.8,25,10,1.049729967
2,0,-10,-0.049070039
2,0,-5,-0.025510067
2,0,0,-0.001950095
2,0,5,0.025510067
2,0,10,0.052970229
2,5,-10,-0.588792711
2,5,-5,-0.203454747
2,5,0,0.181883217
2,5,5,0.203454747
2,5,10,0.225026278
2,10,-10,-1.125493541
2,10,-5,-0.380705481
2,10,0,0.364082579
2,10,5,0.380705481
2,10,10,0.397328383
2,15,-10,-1.723680865
2,15,-5,-0.578603548
2,15,0,0.566473769
2,15,5,0.578603548
2,15,10,0.590733327
2,20,-10,-2.309686319
2,20,-5,-0.772438443
2,20,0,0.764809432
2,20,5,0.772438443
2,20,10,0.780067454
2,25,-10,-2.861635454
2,25,-5,-0.954792664
2,25,0,0.952050127
2,25,5,0.954792664
2,25,10,0.957535201
