Mach,alpha,delta,parameter
0.8,0,-10,
0.8,0,-5,
0.8,0,0,
0.8,0,5,
0.8,0,10,
0.8,5,-10,
0.8,5,-5,
0.8,5,0,
0.8,5,5,
0.8,5,10,
0.8,10,-10,
0.8,10,-5,
0.8,10,0,
0.8,10,5,
0.8,10,10,
0.8,15,-10,
0.8,15,-5,
0.8,15,0,
0.8,15,5,
0.8,15,10,
0.8,20,-10,
0.8,20,-5,
0.8,20,0,
0.8,20,5,
0.8,20,10,
0.8,25,-10,
0.8,25,-5,
0.8,25,0,
0.8,25,5,
0.8,25,10,
2,0,-10,
2,0,-5,
2,0,0,
2,0,5,
2,0,10,
2,5,-10,
2,5,-5,
2,5,0,
2,5,5,
2,5,10,
2,10,-10,
2,10,-5,
2,10,0,
2,10,5,
2,10,10,
2,15,-10,
2,15,-5,
2,15,0,
2,15,5,
2,15,10,
2,20,-10,
2,20,-5,
2,20,0,
2,20,5,
2,20,10,
2,25,-10,
2,25,-5,
2,25,0,
2,25,5,
2,25,10,
